,context
80,"Môn học CS316 là môn học về các hệ giải bài toán thông minh. Nội dung môn học bao gồm việc trình bày về tiêu chuẩn và cấu trúc của hệ giải bài toán thông minh, như là một lớp hệ chuyên gia. Ngoài ra, môn học cũng tập trung vào phương pháp và kỹ thuật sử dụng để thiết kế hệ giải bài toán thông minh. Một phần của môn học là khảo sát các vấn đề kĩ thuật đặc thù của hệ IPS và áp dụng lý thuyết để xây dựng các hệ IPS thực tế. Cuối cùng, môn học cũng giới thiệu một số ứng dụng cụ thể."
81,"Môn Giải tích, có mã môn là MA006, là môn học thuộc chương trình đại cương, bắt buộc với toàn thể sinh viên. Nội dung môn học này bao gồm các kiến thức cơ bản về phép tính vi phân hàm số nhiều biến; phép tính tích phân (tích phân bội), tích phân đường, tích phân mặt; kỹ năng khảo sát chuỗi số, chuỗi hàm, tích phân suy rộng; nhận dạng và giải các phương trình vi phân cấp một, cấp cao, v.v. Từ đó, sinh viên được trang bị kiến thức nền tảng để tiếp tục học các môn chuyên ngành hoặc phục vụ cho quá trình thực hiện khóa luận tốt nghiệp."
82,"Môn Hệ thống thông tin quản lý được ký hiệu là IS332. Về nội dung, môn học sẽ cung cấp các kiến thức cơ bản về hệ thống thông tin quản lý, các thành phần cấu thành, chức năng, vị trí và tầm quan trọng của hệ thống trong doanh nghiệp. Ngoài ra, sinh viên còn được học về cách hệ thống hỗ trợ cho các hoạt động kinh doanh, ra quyết định và tạo lợi thế cạnh tranh. Phương pháp triển khai cũng như quy trình giải quyết vấn đề kinh doanh bằng hệ thống thông tin trên nền tảng công nghệ thông tin được chú trọng đào tạo trong môn học này. Cuối cùng, sinh viên sẽ được nghiên cứu một số hệ thống thông tin điển hình qua các tình huống thực tế (Case Study)."
83,"Môn học Thiết kế Mạng (mã NT113) cung cấp kiến thức toàn diện về thiết kế mạng. Nội dung bao gồm: Xác định mục tiêu thiết kế, đặc điểm của hệ thống mạng; thiết kế cấu trúc kết nối mạng, lựa chọn thiết bị và phần mềm; xây dựng chiến lược bảo mật và quản lý mạng; ứng dụng công nghệ và thiết bị trong mạng khuôn viên trường, mạng doanh nghiệp; đánh giá và tối ưu thiết kế mạng; lập tài liệu thiết kế mạng."
84,"Môn CS431 có tên gọi đầy đủ là 'Các kĩ thuật học sâu và ứng dụng'. Môn học này giới thiệu những kiến thức nền tảng về học máy, đồng thời tập trung vào các phương pháp học máy hiện đại như học sâu (Deep Learning). Thông qua môn học, sinh viên sẽ được trang bị kiến thức để triển khai thuật toán huấn luyện Gradient Descent và sử dụng nó để huấn luyện mạng nơ-ron (Neural Network - NN), hiểu về cấu trúc mạng nơ-ron tích chập (Convolutional Neural Network - CNN) trong bài toán phân loại đối tượng, kỹ thuật huấn luyện lại mạng CNN cho dữ liệu mới và các ứng dụng của mạng CNN trong các bài toán như nhận dạng khuôn mặt, phát hiện đối tượng và truy vấn đối tượng."
85,"Môn học Công nghệ mạng viễn thông có mã NT402, được thiết kế dành riêng cho sinh viên ngành Mạng máy tính và viễn thông. Nội dung môn học tập trung trang bị cho sinh viên nền tảng kiến thức vững chắc về các hạ tầng viễn thông tiên tiến hiện nay, cụ thể là mạng thông tin di động (3G/4G/5G), mạng đồng trục cáp quang và các hệ thống hạ tầng khác."
86,"Chủ đề Lập trình hướng đối tượng, mã môn học MSIS2433, bao gồm:

- Tổng quan về lập trình hướng đối tượng, tập trung vào nguyên tắc thiết kế có cấu trúc, phát triển và kiểm thử.
- Cú pháp ngôn ngữ lập trình, vai trò của mô hình hướng đối tượng trong thiết kế và triển khai ứng dụng phần mềm.
- Nguyên lý trao đổi dữ liệu và các chủ đề liên quan.
- Lập trình hướng đối tượng nhấn mạnh vào tính đóng gói (tạo lớp và thể hiện), tính kế thừa (xác định lớp kế thừa và phương thức từ lớp hiện có) và tính đa hình."
87,"Môn Thực tế ảo, hay còn gọi là CS527, giúp bạn hiểu về các khái niệm cốt lõi và mô hình đằng sau ứng dụng thực tế ảo, cách tích hợp thế giới ảo vào thực tế và các công cụ để tạo ứng dụng thực tế ảo."
88,"Môn học ACCT3603 là một môn học về Hệ thống thông tin kế toán. Nội dung của môn học này tập trung vào kiến thức về công tác kế toán, chu trình nghiệp vụ kế toán, tổ chức và xây dựng hệ thống thông tin kế toán, cũng như việc thiết kế và tin học hóa công tác kế toán."
89,"Môn học CS217 là môn học về hệ cơ sở tri thức và hệ chuyên gia, phương pháp thiết kế và các ứng dụng. Nội dung chính bao gồm: khái niệm, cấu trúc và quy trình xây dựng hệ thống; phương pháp thiết kế các thành phần trung tâm của hệ thống như cơ sở tri thức và bộ suy diễn cùng các kỹ thuật liên quan khác; thiết kế và xây dựng các ứng dụng cụ thể."
90,"Môn học CS2133 - Khoa học máy tính II, tóm tắt nội dung như sau: Giới thiệu thuật toán đệ quy, phương pháp tìm kiếm và sắp xếp thông dụng, tổ chức chương trình, lập trình bộ nhớ động, danh sách liên kết đơn, kế thừa, đa hình, xử lý ngoại lệ, stack, queue, vectors, cây... Phân tích toán học về độ phức tạp không gian và thời gian, tình huống xấu nhất và trung bình."
91,"Môn NT015 Giới thiệu ngành An toàn Thông tin cung cấp kiến thức tổng quát về ngành Công nghệ thông tin (CNTT) và các chuyên ngành chính gồm: Khoa học máy tính, Kỹ thuật máy tính, Kỹ thuật phần mềm, Mạng máy tính và truyền thông, Hệ thống thông tin. Môn học giới thiệu nội dung học tập, cơ hội nghề nghiệp tương ứng với từng chuyên ngành, đặc biệt là ngành An toàn thông tin."
92,Cử nhân khoa học ngành Khoa học Dữ liệu (Áp dụng từ khóa 18 - 2023) ‒ Hình thức đào tạo: Chính quy tập trung.‒ Số tín chỉ đào tạo: Tối thiểu 123 (bao gồm cả ngoại ngữ).‒ Thời gian đào tạo: 4 năm (8 học kỳ chính).
93,"Môn Tổ chức và cấu trúc máy tính với mã môn IT010 cung cấp kiến thức cơ bản về các hệ thống số và cách chuyển đổi giữa chúng. Ngoài ra, môn học giới thiệu về đại số Boolean, cấu trúc của CPU, các loại bộ nhớ (như bộ nhớ trong, ngoài và bộ nhớ đệm) và các thiết bị đầu vào/đầu ra thường sử dụng."
94,"Cử nhân ngành Thiết kế Vi mạch (Áp dụng từ khóa 19 - 2024) a) Tên ngành đào tạo: Tiếng Việt: Thiết kế Vi mạch. Tiếng Anh: Integrated Circuit Design. b) Mã ngành đào tạo: 75202a1 c) Loại hình đào tạo: Chính quy tập trung d) Thời gian đào tạo: 4 năm, 8 học kỳ đ) Tên văn bằng sau khi tốt nghiệp: + Tiếng Việt: Cử nhân Thiết kế Vi mạch + Tiếng Anh: Bachelor of Engineering in Integrated Circuit Design e) Địa điểm đào tạo: Trường Đại Học Công Nghệ Thông Tin – ĐHQG TP.HCM"
95,"Môn Kỹ năng nghề nghiệp với mã môn SS004 tập trung vào trang bị cho sinh viên những kỹ năng cần thiết trong lĩnh vực công nghệ thông tin (CNTT). Những kỹ năng này bao gồm giao tiếp hiệu quả, làm việc nhóm, tư duy phản biện, quản lý thời gian và thuyết trình. Nội dung môn học chú trọng vào việc truyền đạt kiến thức và thực hành các kỹ năng này, giúp sinh viên có nền tảng cơ bản đáp ứng được yêu cầu học tập và công việc trong lĩnh vực CNTT."
96,"Môn học Cơ chế hoạt động của mã độc có mã môn học là NT230. Tóm tắt nội dung môn học như sau: Mã độc là chủ đề quan trọng trong an toàn thông tin. Việc hiểu được cơ chế hoạt động của mã độc sẽ giúp ích trong việc xây dựng được các hệ thống phát hiện, ngăn chặn chúng. Do đó, môn học này có mục tiêu trang bị cho sinh viên kiến thức cả lý thuyết và thực hành về hoạt động của các mã độc thông dụng. Cụ thể môn học trình bày cơ chế vận hành, các kĩ thuật được sử dụng của các mã độc thông dụng như virus, sâu, botnet, rootkit, ..."
97,"Môn học mang tên Kiến trúc máy tính, được mã hóa là IT006. Nội dung chủ yếu bao gồm: kiến thức nền tảng về kiến trúc máy tính, như lịch sử hình thành và những công nghệ liên quan đến sự phát triển của máy tính; các khái niệm cơ bản trong kiến trúc máy tính như các thành phần cấu tạo, nguyên tắc hoạt động, kiến trúc tập lệnh và hiệu suất máy tính. Ngoài ra, môn học còn cung cấp kiến thức về lập trình hợp ngữ và các vấn đề liên quan đến CPU, như thiết kế datapath cơ bản và cơ chế đường ống."
98,Môn học CE433 về Thiết kế hệ thống SoC giới thiệu về phương pháp thiết kế SoC và cung cấp kiến thức cơ bản về các vi mạch SoC cho sinh viên.
99,"Môn NT213 với tên gọi Bảo mật web và ứng dụng là một môn học cung cấp cái nhìn tổng quát về các kỹ thuật hack ứng dụng web. Sinh viên theo học sẽ được tiếp cận với các phương pháp bảo mật như thu thập thông tin, xác thực đầu vào từ phía máy chủ và bảo vệ các nền tảng phía máy khách. Ngoài ra, môn học còn trang bị kiến thức về phần mềm độc hại dành cho nền tảng web."
100,"Môn học CS005 là môn Giới thiệu ngành Khoa học Máy tính. Nội dung môn học tóm tắt như sau: Môn học này cung cấp kiến thức giới thiệu về ngành CNTT và Khoa học Máy tính. Nó cung cấp thông tin và kiến thức cơ bản về ngành học, chương trình đào tạo, chuẩn đầu ra, cơ hội nghề nghiệp và mối liên hệ với các ngành khác."
101,Cử nhân ngành Khoa học Máy tính (Áp dụng từ khóa 18 - 2023) Hình thức đào tạo: Chính quy tập trung. Số tín chỉ đào tạo: 126 tín chỉ Cấp bằng: Cử nhân ngành Khoa học Máy tính. Thời gian đào tạo: 3.5 năm (gồm 7 học kỳ chính thức).
102,"Môn Giải tích I (mã MATH2144) là học phần đầu tiên trong lĩnh vực giải tích, trình bày các khái niệm nền tảng về phương trình trong hệ tọa độ Descartes và hệ tọa độ cực. Học phần này trang bị các phương pháp dựng đồ thị hàm số, kỹ thuật vi phân và tích phân cùng với ứng dụng của chúng, bao gồm kỹ thuật vi phân từng phần và ứng dụng đối với các hàm nhiều biến."
103,"Môn học ""Mẫu Thiết kế"" với mã khóa là SE401 cung cấp một cái nhìn sâu sắc về những mẫu thiết kế phổ biến trong phát triển phần mềm. Nội dung môn học tập trung vào việc khám phá các kiến trúc thiết kế linh hoạt, cho phép áp dụng các mẫu thiết kế hiệu quả trong nhiều tình huống khác nhau. Từ đó, sinh viên sẽ nắm vững các giải pháp thiết kế đa dạng, hỗ trợ đắc lực cho quá trình phát triển phần mềm thành công."
104,Môn học Lý thuyết thông tin với mã môn NT104 trình bày chuyên sâu về các nguyên lý và khái niệm cơ bản của truyền thông thông tin. Nội dung môn học này bao gồm: các biện pháp đo lường thông tin như lượng tin và entropy; các mô hình nguồn và kênh truyền tin rời rạc; các phương thức mã hóa và giải mã hiệu quả để nén dữ liệu; các kỹ thuật mã hóa chống nhiễu bảo vệ tính toàn vẹn của thông tin trên kênh truyền; và các thuật toán bảo mật đảm bảo tính bí mật và xác thực của dữ liệu.
105,"Môn Thị giác máy tính trong tương tác người-máy, hay CS532, là một môn học giới thiệu các cách tiếp cận tương tác người-máy dựa trên các kỹ thuật và phương pháp thị giác máy tính. Tập trung vào việc phân tích, nhận dạng cử chỉ, hành động và biểu cảm khuôn mặt của người dùng thông qua hình ảnh và video (bao gồm cả video 2D truyền thống và video độ sâu)."
106,Môn Lập trình Java (mã môn IS216) sẽ giúp bạn: - Hiểu những nguyên lý cơ bản của ngôn ngữ Java - Áp dụng công nghệ Java để tạo nên các ứng dụng - Tập trung vào công nghệ Java dành cho máy chủ - Nắm vững các khái niệm cốt lõi trong lập trình Java - Hiểu bản chất giao tiếp giữa máy khách (Client) và máy chủ (Server) trong Java - Làm chủ ngôn ngữ lập trình web động Java với khả năng quản lý cơ sở dữ liệu SQL Server hoặc MySQL - Áp dụng kỹ thuật lập trình Ajax trong Java - Tìm hiểu các Framework hỗ trợ viết web bằng Java - Lập trình và triển khai các ứng dụng cơ sở dữ liệu web động bằng mô hình MVC
107,"Môn Các vấn đề chọn lọc trong Thị giác máy tính (CS420) là một môn học có nội dung linh hoạt, tập trung chủ yếu vào các chủ đề và vấn đề mới nhất trong lĩnh vực này."
108,"Môn học CS336 là môn Truy vấn thông tin đa phương tiện. Nội dung môn học tập trung vào việc truyền đạt kiến thức cơ bản và kỹ thuật tiên tiến được sử dụng trong các hệ thống tìm kiếm dựa trên văn bản, hình ảnh và video. Các vấn đề được giới thiệu bao gồm: phương pháp rút trích và biểu diễn đặc trưng, phương pháp ước lượng độ tương tự, kỹ thuật đánh chỉ mục, kết hợp đa đặc trưng trong tìm kiếm, kỹ thuật tìm kiếm trên cơ sở dữ liệu lớn."
109,"Môn học Tấn công mạng có mã môn học là NT205. Tóm tắt nội dung môn học như sau: Tóm tắt nội dung:- Kiến thức lý thuyết về những lỗ hổng bảo mật phổ biến tồn tại trong hệ thống mạng, hệ điều hành, ứng dụng.- Các phương pháp tấn công dựa vào các lỗ hổng đã phát hiện.- Các bước thực hiện tấn công chiếm quyền điều khiển hệ thống, thay đổi dữ liệu hay từ chối dịch vụ…- Xây dựng hệ thống phòng thủ ngăn chặn các cuộc tấn côngĐối với hệ Cử nhân tài năng:- Trình bày chuyên sâu hơn về các giao thức mạng và việc tận dụng các lỗ hổng trong giao thức để tấn công; cách thức tấn công trên webserver cấu hình mạnh; các phương pháp tấn công ứng dụng web; cách thức tấn công và phòng chống lại các cuộc tấn công mạng trong tương lai.- Bổ sung các bài tập nâng cao về việc sử dụng các công cụ crack password phức tạp và leo thang đặc quyền, xoá dấu vết, tấn công DDoS, cách thức điều khiển các zombie và xây dựng các mạng BotNet.- Sinh viên thực hiện seminar chuyên đề theo định hướng của chương trình tài năng, trong đó sinh viên được chọn đề tài, tự tìm tài liệu và thực hiện báo cáo theo yêu cầu của giảng viên."
110,"Môn Thiết kế giao diện người dùng (IE106) trang bị kiến thức nền tảng về các vấn đề sử dụng hệ thống tương tác, nguyên tắc thiết yếu của thiết kế giao diện người dùng, quy trình thiết kế giao diện, đánh giá thiết kế giao diện; đồng thời giới thiệu các kỹ thuật liên quan đến thực đơn, nhập liệu, hộp thoại, tài liệu người dùng, giao diện tìm kiếm, mối liên kết giữa giao diện người dùng và trực quan hóa dữ liệu. Môn học cũng cung cấp cái nhìn tổng quan về những công nghệ mới trong lĩnh vực thiết kế giao diện người dùng."
111,"Môn Anh văn 1 được định danh với mã môn học ENG01. Về nội dung, đây là môn học mở đầu trong chuỗi các học phần Anh văn bắt buộc trong chương trình đào tạo chính quy ở bậc đại học. Môn học cung cấp nền tảng kiến thức và kỹ năng dùng Anh ngữ trong môi trường công việc. Qua đó, sinh viên được kỳ vọng đạt trình độ Anh ngữ từ 30 đến dưới 42 điểm theo thang đánh giá toàn cầu GSE (The Global Scale of English), tương đương cấp độ tiền trung cấp (pre-intermediate A2-B1)."
112,"Môn học Có mã môn học MSIS4263 có tên gọi là Các ứng dụng trí tuệ nhân tạo và hỗ trợ ra quyết định. Tóm tắt nội dung môn học: Giới thiệu kỹ thuật và công cụ quản lý tri thức ứng dụng để hỗ trợ ra quyết định, hệ thống hỗ trợ ra quyết định, kỹ thuật khai thác dữ liệu."
113,"SE417, còn được gọi là Đồ án môn học mã nguồn mở, là một khóa học tập trung vào việc trang bị cho sinh viên các kiến thức thiết yếu về phát triển phần mềm mã nguồn mở. Môn học giúp sinh viên áp dụng lý thuyết đã học thông qua nghiên cứu sách báo, tài liệu và các phương tiện truyền thông. Kiến thức cốt lõi bao gồm công nghệ phần mềm, lập trình, cấu trúc dữ liệu, ngôn ngữ lập trình và các phương pháp phát triển phần mềm.

Ngoài ra, sinh viên sẽ khám phá các thuật toán, công nghệ, ngôn ngữ lập trình và ứng dụng phổ biến trong cộng đồng mã nguồn mở để ứng dụng vào đồ án của mình. Họ cũng tìm hiểu về các nguyên tắc và quy định chi phối việc xây dựng phần mềm mã nguồn mở và cách tham gia vào cộng đồng này.

Mục tiêu chính của môn học là giúp sinh viên nghiên cứu, xây dựng và triển khai các giải pháp phần mềm mã nguồn mở có ứng dụng thực tế, đóng góp cho sự phát triển của cộng đồng mã nguồn mở và cải thiện kỹ năng làm việc nhóm của sinh viên."
114,"Môn học Lập trình ứng dụng mạng, có mã môn học là NT109, bao gồm các nội dung chính: kiến thức nền tảng về ứng dụng web và mô hình phát triển ứng dụng; công nghệ J2EE; mô hình MVC và các thư viện phổ biến như Struts/Spring; và bảo mật ứng dụng mạng."
115,"SE400 là mã môn học của môn Seminar các vấn đề hiện đại của CNPM. Nội dung tóm tắt của môn học như sau: Trang bị cho người học cái nhìn bao quát về những vấn đề đương thời trong lĩnh vực phát triển phần mềm. Sau khi học xong, sinh viên có thể:
- Tìm hiểu vấn đề mới
- Viết báo cáo, trình bày vấn đề đã tìm hiểu"
116,"Trong môn Xử lý tín hiệu truyền thông (mã môn NT332), sinh viên sẽ được trang bị nền tảng về tín hiệu số và tín hiệu rời rạc. Họ sẽ khám phá quang phổ tín hiệu, quá trình chuyển đổi A/D và D/A. Môn học tập trung vào các thuật toán xử lý tín hiệu số như biến đổi Z và Fourier, đồng thời hướng dẫn sinh viên thiết kế bộ lọc số FIR và IIR. Sinh viên cũng sẽ nghiên cứu các kênh truyền thông và thiết kế hệ thống truyền thông số. Ngoài ra, môn học sẽ đề cập đến các ứng dụng xử lý tín hiệu trong viễn thông, truyền thông di động và truyền thông không dây. Cuối cùng, sinh viên sẽ được củng cố kiến thức thông qua bài tập thực hành trên phần mềm Matlab."
117,"Môn Control and Audit of Information Systems, hay còn được gọi là MSIS4243, là một khóa học cung cấp những quy trình xác thực, bảo quản và trích xuất các chứng cứ điện tử, bên cạnh đó còn hướng dẫn sinh viên giám sát và điều tra về những vụ xâm nhập vào hệ thống máy chủ và mạng, phân tích thông tin thu thập được, và chuẩn bị các bằng chứng xác thực đáp ứng được các yêu cầu. Khóa học cũng cung cấp các công cụ pháp lý và nguồn tài nguyên cần thiết cho các quản trị viên hệ thống, cũng như kiến thức về đạo đức, luật pháp, chính sách và các tiêu chuẩn liên quan đến bằng chứng số."
118,"Cử nhân ngành Kỹ thuật Máy tính (Áp dụng từ khóa 18 - 2023) Mục tiêu đào tạo Chương trình đào tạo cử nhân chính quy ngành Kỹ thuật Máy tính (sau đây gọi tắt là CTĐT ngành KTMT) được xây dựng với mục tiêu đào tạo nguồn nhân lực chất lượng cao, đạt trình độ khu vực và quốc tế trong lĩnh vực hệ thống nhúng và robot, vạn vật kết nối (Internet of Things - IoT), thiết kế vi mạch, thiết kế hệ thống trên chip, ứng dụng trí tuệ nhân tạo nhằm đáp ứng nhu cầu phát triển của ngành công nghiệp công nghệ thông tin - truyền thông và các ngành nghề liên quan trong cả nước."
119,"Cử nhân ngành Thiết kế Vi mạch (Áp dụng từ khóa 19 - 2024) Sinh viên tốt nghiệp CTĐT ngành TKVM đạt được các năng lực sau: Có thể nắm vững kiến thức nền tảng về khoa học tự nhiên, khoa học xã hội và hiểu khả năng vận dụng những kiến thức đó vào ngành TKVM và thực tiễn Có thể nắm vững kiến thức nền tảng và một số kiến thức chuyên sâu của ngành TKVM để ứng dụng vào thực tiễn"
120,"Môn học CE502 - Thực tập doanh nghiệp cung cấp cho sinh viên các kỹ năng để giải quyết các bài toán thực tế, tham gia nghiên cứu, thiết kế hoặc thực hiện các ứng dụng từ doanh nghiệp. Môn học này giúp phát triển kỹ năng giao tiếp, làm việc nhóm và thuyết trình trong môi trường thực tế tại các doanh nghiệp. Ngoài ra, nó cũng giúp sinh viên có thái độ tích cực trong ngành Kỹ thuật máy tính và định hướng khả năng phát triển chuyên môn trong tương lai."
121,"Môn học có tên là Tương tác người - Máy và mã môn học là CE406. Tóm tắt nội dung môn học như sau: ▪ Cung cấp định nghĩa về HCI, các đối tượng tham gia giao tiếp và các vấn đề liên quan. ▪ Giới thiệu các kỹ thuật giao tiếp truyền thống như giao tiếp dòng lệnh, menu, văn bản, các kỹ thuật hiện đại, giao tiếp đồ họa GUI, giao tiếp trực tiếp WIMP. ▪ Trình bày chuẩn và mô hình được sử dụng trong thiết kế và các phương pháp thiết kế. ▪ Giới thiệu các kỹ thuật đánh giá giao tiếp người dùng được sử dụng trong quá trình thiết kế và đánh giá sản phẩm."
122,"Môn Hệ điều hành có mã môn IT007, bao gồm 8 chương với nội dung về các khái niệm, nguyên tắc hoạt động cơ bản của hệ điều hành, trình bày từ cơ bản đến nâng cao. Nội dung cụ thể bao gồm: tổng quan về hệ điều hành, cấu trúc hệ điều hành, quản lý tiến trình, định thời CPU, đồng bộ hóa tiến trình, bế tắc, quản lý bộ nhớ và bộ nhớ ảo. Sau mỗi phần lý thuyết, sinh viên sẽ được thực hành trong phòng thí nghiệm để củng cố kiến thức và hiểu rõ hơn về các khái niệm, giải thuật đã học."
123,"Môn Quản trị doanh nghiệp (mã môn EC002) trang bị cho sinh viên nền tảng lý thuyết về quản trị học, đồng thời bao quát các hoạt động cốt lõi của doanh nghiệp như quản lý tài chính, kinh doanh, nhân sự, sản xuất và chuỗi cung ứng."
124,"**Đoạn văn đã viết lại:**

Môn Giải tích II, có mã là MATH2153, tập trung vào việc cung cấp kiến thức về các dạng tích phân bội khác nhau, bao gồm tích phân 2 lớp, tích phân 2 lớp theo hệ tọa độ cực, tích phân 3 lớp, tích phân 3 lớp theo hệ tọa độ trụ và cầu; tích phân đường và tích phân mặt, cũng như các ứng dụng của chúng trong trường vectơ. Ngoài ra, môn học này còn bao quát các chủ đề cơ bản như tích phân xác định với các ứng dụng liên quan đến tính diện tích, thể tích và công; lý thuyết về dãy số và chuỗi vô hạn; vectơ và hình học giải tích trong không gian hai và ba chiều; hệ tọa độ cực, phương trình tham số và các ứng dụng của chúng."
125,"Môn học CS3373 là môn Lập trình hướng đối tượng nâng cao dành cho môi trường windows. Nội dung môn học tập trung vào việc áp dụng mô hình tính toán hướng đối tượng vào thiết kế và phát triển phần mềm trên môi trường windows. Môn học cũng tập trung vào việc sử dụng hiệu quả giao diện GUI, internet, các nguyên lý trao đổi dữ liệu và các chủ đề liên quan."
126,"Môn học ""Nhập môn ứng dụng di động"" có mã học phần là SE114. Tập trung vào nền tảng của hệ thống nhúng, phần mềm nhúng, cùng với các công cụ và môi trường để phát triển ứng dụng trên hệ thống nhúng và mạch số. Mục đích chính của môn học là trang bị cho sinh viên kiến thức thiết kế phần mềm cho các ứng dụng nhúng trên bộ vi xử lý đơn dựa trên các bộ vi điều khiển chuẩn nhỏ. Ngoài ra, môn học còn giúp sinh viên nâng cao khả năng thực hiện thiết kế ứng dụng nhúng bằng ngôn ngữ lập trình bậc cao."
127,"Đối tượng môn học Phân tích thiết kế hệ thống truyền thông và mạng với mã môn học là NT201, tóm tắt nội dung cơ bản như sau: Chương trình học được phân định theo hai phần chính:

- Phần một, mở đầu từ chương 1 đến chương 6, làm sáng tỏ về phân tích hệ thống gồm các khái niệm cốt lõi, cấu trúc hệ thống, nhiệm vụ của hệ thống, các bước phát triển và trạng thái hoạt động của hệ thống.

- Phần hai, bao hàm từ chương 7 đến chương 12, chuyên sâu về thiết kế và triển khai hệ thống, bao gồm: lộ trình phát triển hệ thống, thông số kỹ thuật của hệ thống, những vấn đề nảy sinh trong quá trình thực hiện, phân tích các hỗ trợ phục vụ cho ra quyết định, thủ tục kiểm tra và xác nhận."
128,"Môn học Đồ họa máy tính hay còn được biết với mã CS4143, là một chuyên ngành bao phủ các chủ đề sau: lập trình đồ họa tương tác, cấu trúc phần cứng đồ họa, phép biến đổi hình học, tổ chức dữ liệu đồ thị, tổng quan về 3D, biểu diễn hình ảnh 3D, thuật toán xử lý bề mặt và vật ẩn, cùng với các phương pháp tô bóng."
129,"Môn học Thực tập tốt nghiệp, hay còn được biết với mã môn SE501, là một phần quan trọng trong chương trình đào tạo. Mục tiêu của môn học này là đưa sinh viên ra môi trường thực tiễn, nơi họ sẽ làm quen với thế giới việc làm của một chuyên gia CNTT. Thông qua việc thực tập tại các công ty về phần mềm, đơn vị CNTT, cơ quan nhà nước và trường học, sinh viên sẽ được tiếp cận với các công việc, nhiệm vụ thực tế cũng như trau dồi kinh nghiệm giải quyết các vấn đề chuyên môn thường gặp trong lĩnh vực mà họ theo đuổi."
130,"Cử nhân ngành Trí tuệ Nhân tạo (Áp dụng từ khóa 18 - 2023)  Mục tiêu chung: Chương trình đào tạo ngành Trí tuệ nhân tạo hướng đến mục tiêu đào tạo nguồn nhân lực chất lượng cao đạt trình độ khu vực và quốc tế về Trí tuệ nhân tạo. Chương trình trang bị cho người học nền tảng kiến thức vững vàng kết hợp cùng kiến thức chuyên sâu cập nhật, hiện đại về Trí tuệ nhân tạo. Người học hiểu và có khả năng làm chủ, vận dụng sáng tạo các thành tựu tiên tiến của ngành; có kỹ năng cần thiết và thái độ chuẩn mực trong phát triển nghề nghiệp."
131,"Môn Lập trình ứng dụng Web (mã NT208) cung cấp toàn cảnh về phát triển ứng dụng Web trên nền tảng mã nguồn mở, bao gồm:
- Kỹ thuật xây dựng giao diện ứng dụng (client-side) và xử lý dữ liệu phía máy chủ (server-side)
- Tạo ứng dụng Web bằng các framework mã nguồn mở
- Kiến thức nền tảng về dịch vụ Web và phát triển ứng dụng sử dụng dịch vụ Web
- Các nguyên lý về truy vấn bất đồng bộ và công nghệ Ajax
- Tổng quan về RSS và các kỹ thuật liên quan"
132,"Môn học CS113 về Đồ họa máy tính và Xử lý ảnh cung cấp kiến thức về hiển thị hình ảnh trên máy tính, bao gồm quy trình hiển thị, thuật toán vẽ hình cơ bản, mô hình hóa đối tượng 3D, phép biến đổi, kỹ thuật xén hình, kỹ thuật dựng hình, phối cảnh, chiếu sáng, animation cơ bản, phép biến đổi trên ảnh và phương pháp xử lý ảnh."
133,"Môn học Phát triển ứng dụng web (MSIS207) trang bị cho sinh viên nền tảng lập trình web với ngôn ngữ lập trình PHP mã nguồn mở; kỹ thuật lập trình Ajax kết hợp PHP; và các khung hỗ trợ triển khai ứng dụng web bằng PHP. Sinh viên được hướng dẫn thiết kế, triển khai, vận hành và bảo trì ứng dụng web bằng PHP trong các tình huống thực tế."
134,"Môn Cấu trúc dữ liệu và giải thuật nâng cao (CS523) cung cấp kiến thức về các phương pháp tổ chức và xử lý cơ bản trên các cấu trúc dữ liệu phức tạp, xây dựng dựa trên các cấu trúc dữ liệu nền tảng. Các giải thuật được tích hợp với cấu trúc dữ liệu để tạo nên các chương trình máy tính. Môn học sử dụng các ngôn ngữ lập trình bậc cao như C/C++ hoặc Python để thực hành."
135,"Môn học Hệ thống Tính toán Phân bố (mã môn NT533) cung cấp kiến thức toàn diện về các hệ thống tính toán phân tán. Nội dung môn học bao gồm các chủ đề cốt lõi như: khái niệm và kỹ thuật thiết kế hệ thống tính toán phân tán, thông tin liên lạc giữa các tiến trình, gọi thủ tục từ xa, hệ thống tập tin phân tán, kiểm soát đồng thời. Ngoài ra, môn học giới thiệu các hướng nghiên cứu mới trong lĩnh vực tính toán hiệu năng cao, bao gồm điện toán đám mây, điện toán lưới, cụm máy tính. Cuối cùng, môn học thảo luận về các loại hệ thống phân tán phổ biến như đám mây điện toán, điện toán lưới, hệ thống lưu trữ, mạng ngang hàng và các dịch vụ web."
136,"Khóa học An toàn mạng không dây và di động (mã môn NT330) trình bày những khái niệm cơ bản về đánh giá và bảo mật, cũng như giải quyết các vấn đề liên quan. Khóa học tập trung vào các giải pháp bảo vệ công nghệ không dây và thiết bị di động như Bluetooth, WiFi, WiMax, 2G và 3G. Ngoài ra, khóa học sẽ thảo luận về các kỹ thuật bảo mật trong các ứng dụng tải xuống trên thiết bị di động thông qua hệ thống mạng di động. Cuối cùng, khóa học sẽ đề cập đến các vấn đề bảo mật và các giải pháp an toàn cho các công nghệ không dây và di động tiên tiến như mạng cảm biến, di động 4G và mạng IMS."
